FIRST_ID,SECOND_ID,SIMILARITY
28,4,"0,0228"
12,40,"0,0227"
40,12,"0,0227"
7,31,"0,0227"
31,7,"0,0227"
16,45,"0,0227"
45,16,"0,0227"
19,30,"0,0225"
30,19,"0,0225"
9,18,"0,0225"
18,9,"0,0225"
2,20,"0,0225"
20,2,"0,0225"
26,48,"0,0225"
48,26,"0,0225"
4,40,"0,0224"
40,4,"0,0224"
1,7,"0,0224"
7,1,"0,0224"
29,33,"0,0224"
33,29,"0,0224"
36,40,"0,0224"
40,36,"0,0224"
15,37,"0,0223"
37,15,"0,0223"
21,40,"0,0223"
40,21,"0,0223"
9,36,"0,0222"
36,9,"0,0222"
17,45,"0,0222"
45,17,"0,0222"
34,45,"0,0221"
45,34,"0,0221"
21,36,"0,0221"
36,21,"0,0221"
22,40,"0,0220"
40,22,"0,0220"
2,48,"0,0219"
48,2,"0,0219"
24,28,"0,0219"
28,24,"0,0219"
24,31,"0,0218"
31,24,"0,0218"
21,34,"0,0216"
34,21,"0,0216"
38,47,"0,0216"
47,38,"0,0216"
5,47,"0,0215"
47,5,"0,0215"
27,40,"0,0214"
40,27,"0,0214"
5,16,"0,0213"
16,5,"0,0213"
15,38,"0,0213"
38,15,"0,0213"
40,41,"0,0212"
41,40,"0,0212"
33,36,"0,0212"
36,33,"0,0212"
1,45,"0,0212"
45,1,"0,0212"
6,37,"0,0212"
37,6,"0,0212"
15,31,"0,0212"
31,15,"0,0212"
39,40,"0,0211"
40,39,"0,0211"
27,33,"0,0211"
33,27,"0,0211"
26,42,"0,0210"
42,26,"0,0210"
33,34,"0,0206"
34,33,"0,0206"
28,42,"0,0206"
42,28,"0,0206"
33,46,"0,0203"
46,33,"0,0203"
6,29,"0,0202"
29,6,"0,0202"
6,15,"0,0202"
15,6,"0,0202"
8,40,"0,0201"
40,8,"0,0201"
35,49,"0,0200"
49,35,"0,0200"
32,48,"0,0200"
48,32,"0,0200"
15,26,"0,0200"
26,15,"0,0200"
22,45,"0,0197"
45,22,"0,0197"
5,7,"0,0197"
7,5,"0,0197"
8,16,"0,0196"
16,8,"0,0196"
7,22,"0,0194"
22,7,"0,0194"
16,47,"0,0193"
47,16,"0,0193"
37,45,"0,0192"
45,37,"0,0192"
5,19,"0,0192"
19,5,"0,0192"
1,38,"0,0192"
38,1,"0,0192"
29,46,"0,0189"
46,29,"0,0189"
1,36,"0,0188"
36,1,"0,0188"
17,25,"0,0188"
25,17,"0,0188"
21,35,"0,0187"
35,21,"0,0187"
4,36,"0,0187"
36,4,"0,0187"
6,32,"0,0187"
32,6,"0,0187"
28,39,"0,0185"
